# i, j, E_i, E_j
4.000000000000000000e+00 3.800000000000000000e+01 -1.156789391595606663e-04 4.272187653474714217e-05
4.000000000000000000e+00 3.900000000000000000e+01 -1.046901916597551261e-04 4.288055337539850597e-05
4.000000000000000000e+00 4.000000000000000000e+01 -9.376102018084656259e-05 4.282120345620890026e-05
4.000000000000000000e+00 4.100000000000000000e+01 -8.298656722337906027e-05 4.259770606949148781e-05
4.000000000000000000e+00 4.200000000000000000e+01 -7.234383821424281559e-05 4.227209866398666679e-05
4.000000000000000000e+00 4.300000000000000000e+01 -6.188513343402565043e-05 4.188520515575579672e-05
4.000000000000000000e+00 4.400000000000000000e+01 -5.157465777108276403e-05 4.148593643448748880e-05
4.000000000000000000e+00 4.500000000000000000e+01 -4.142838268295430555e-05 4.110753303772323841e-05
4.000000000000000000e+00 4.600000000000000000e+01 -3.140555809487810665e-05 4.081353312948412593e-05
4.000000000000000000e+00 4.700000000000000000e+01 -2.151079140810817131e-05 4.089313160632759121e-05
4.000000000000000000e+00 4.800000000000000000e+01 -1.183693994902199414e-05 4.412005880371821977e-05
4.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 4.713872874547509931e-05
5.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -5.444620878382727669e-05
5.000000000000000000e+00 1.000000000000000000e+00 -1.106336362965737626e-05 -5.098502266493384769e-05
5.000000000000000000e+00 2.000000000000000000e+00 -2.011219567894313487e-05 -4.732405787954421865e-05
5.000000000000000000e+00 3.000000000000000000e+00 -2.940402612186019353e-05 -4.733789491917189375e-05
5.000000000000000000e+00 4.000000000000000000e+00 -3.884052826184208049e-05 -4.782632700826773987e-05
5.000000000000000000e+00 5.000000000000000000e+00 -4.846178966473202335e-05 -4.846128099604726759e-05
5.000000000000000000e+00 6.000000000000000000e+00 -5.828224860976746562e-05 -4.916643096224300718e-05
5.000000000000000000e+00 7.000000000000000000e+00 -6.834738906123455165e-05 -4.990995884715423558e-05
5.000000000000000000e+00 8.000000000000000000e+00 -7.865482015012947403e-05 -5.063810970957346937e-05
5.000000000000000000e+00 9.000000000000000000e+00 -8.923544514258745881e-05 -5.130423605212688291e-05
5.000000000000000000e+00 1.000000000000000000e+01 -1.000588162061086782e-04 -5.183571912424921090e-05
5.000000000000000000e+00 1.100000000000000000e+01 -1.111312153823493156e-04 -5.217364235231936953e-05
5.000000000000000000e+00 1.200000000000000000e+01 -1.223869590915396301e-04 -5.222338273311847743e-05
5.000000000000000000e+00 1.300000000000000000e+01 -1.337958217658871381e-04 -5.191033180841392487e-05
5.000000000000000000e+00 1.400000000000000000e+01 -1.452421845717054836e-04 -5.114238431127465009e-05
5.000000000000000000e+00 1.500000000000000000e+01 -1.566493275842977657e-04 -4.983674719187704402e-05
5.000000000000000000e+00 1.600000000000000000e+01 -1.678464828643230484e-04 -4.790050188509194272e-05
5.000000000000000000e+00 1.700000000000000000e+01 -1.787028371023811576e-04 -4.527349317975676996e-05
5.000000000000000000e+00 1.800000000000000000e+01 -1.889945727717077758e-04 -4.189519296873568102e-05
5.000000000000000000e+00 1.900000000000000000e+01 -1.985495528751394004e-04 -3.774068015286607698e-05
5.000000000000000000e+00 2.000000000000000000e+01 -2.071097268744280778e-04 -3.281669045424712682e-05
5.000000000000000000e+00 2.100000000000000000e+01 -2.144950770276880868e-04 -2.717006136760156476e-05
5.000000000000000000e+00 2.200000000000000000e+01 -2.204537552013089438e-04 -2.087387138963766719e-05
5.000000000000000000e+00 2.300000000000000000e+01 -2.248459535026399556e-04 -1.405195973541240387e-05
5.000000000000000000e+00 2.400000000000000000e+01 -2.274838849087992896e-04 -6.853352937150449312e-06
5.000000000000000000e+00 2.500000000000000000e+01 -2.283203430644322861e-04 5.463237133664739995e-07
5.000000000000000000e+00 2.600000000000000000e+01 -2.272783620925010852e-04 7.948236493748438852e-06
5.000000000000000000e+00 2.700000000000000000e+01 -2.244347928998388034e-04 1.515712897618673623e-05
5.000000000000000000e+00 2.800000000000000000e+01 -2.198339660890440573e-04 2.199797519593393348e-05
5.000000000000000000e+00 2.900000000000000000e+01 -2.136616424684739560e-04 2.832591662412729241e-05
