# i, j, E_i, E_j
2.000000000000000000e+00 3.800000000000000000e+01 1.212980890756512229e-05 6.427120113737240471e-05
2.000000000000000000e+00 3.900000000000000000e+01 1.230407935865118405e-05 5.966889463451338789e-05
2.000000000000000000e+00 4.000000000000000000e+01 1.242137496593626609e-05 5.278297565293213977e-05
2.000000000000000000e+00 4.100000000000000000e+01 1.250644651180230291e-05 4.789270206854776268e-05
2.000000000000000000e+00 4.200000000000000000e+01 1.247838069145620790e-05 4.116513594518086294e-05
2.000000000000000000e+00 4.300000000000000000e+01 1.249306319561431348e-05 3.605579865007868724e-05
2.000000000000000000e+00 4.400000000000000000e+01 1.247070745889670596e-05 2.962954118575361075e-05
2.000000000000000000e+00 4.500000000000000000e+01 1.244691240837650224e-05 2.434864003423535940e-05
2.000000000000000000e+00 4.600000000000000000e+01 1.245799551634210075e-05 1.809413447101068819e-05
2.000000000000000000e+00 4.700000000000000000e+01 1.251297261262947810e-05 1.272961722821985702e-05
2.000000000000000000e+00 4.800000000000000000e+01 1.355733264135430702e-05 6.861270880407107002e-06
2.000000000000000000e+00 4.900000000000000000e+01 1.462599838962776598e-05 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 -1.981390247642551825e-05 0.000000000000000000e+00
3.000000000000000000e+00 1.000000000000000000e+00 -1.861883885139579303e-05 6.564283379670510371e-06
3.000000000000000000e+00 2.000000000000000000e+00 -1.717106881362444123e-05 1.173257320851921460e-05
3.000000000000000000e+00 3.000000000000000000e+00 -1.719040628773343675e-05 1.730605199008510554e-05
3.000000000000000000e+00 4.000000000000000000e+00 -1.738934677440966256e-05 2.271140080796803245e-05
3.000000000000000000e+00 5.000000000000000000e+00 -1.754211027933455584e-05 2.821405930412051116e-05
3.000000000000000000e+00 6.000000000000000000e+00 -1.765313385936567145e-05 3.371682209883500504e-05
3.000000000000000000e+00 7.000000000000000000e+00 -1.790529068390238283e-05 3.937464956264797927e-05
3.000000000000000000e+00 8.000000000000000000e+00 -1.802190711621262577e-05 4.499216059566203208e-05
3.000000000000000000e+00 9.000000000000000000e+00 -1.796272733047712500e-05 5.075433072413872414e-05
3.000000000000000000e+00 1.000000000000000000e+01 -1.809741303671981623e-05 5.647237119990585277e-05
3.000000000000000000e+00 1.100000000000000000e+01 -1.794424952214306295e-05 6.222181310288863473e-05
3.000000000000000000e+00 1.200000000000000000e+01 -1.777873933170535925e-05 6.792124573995377891e-05
3.000000000000000000e+00 1.300000000000000000e+01 -1.746862659995668428e-05 7.366864457166226682e-05
3.000000000000000000e+00 1.400000000000000000e+01 -1.711749506967407710e-05 7.913357728749505877e-05
3.000000000000000000e+00 1.500000000000000000e+01 -1.639339959948191215e-05 8.463356219343552331e-05
3.000000000000000000e+00 1.600000000000000000e+01 -1.577171157550786261e-05 8.983472746606604498e-05
3.000000000000000000e+00 1.700000000000000000e+01 -1.477984139179705741e-05 9.488862616746797764e-05
3.000000000000000000e+00 1.800000000000000000e+01 -1.347023014157912508e-05 9.928721638054653707e-05
3.000000000000000000e+00 1.900000000000000000e+01 -1.209573426480002926e-05 1.035780850948246363e-04
3.000000000000000000e+00 2.000000000000000000e+01 -1.049848685327512223e-05 1.070927090715181732e-04
3.000000000000000000e+00 2.100000000000000000e+01 -8.707094198672377669e-06 1.104101618684226455e-04
3.000000000000000000e+00 2.200000000000000000e+01 -6.872638329070887000e-06 1.126622596600528991e-04
3.000000000000000000e+00 2.300000000000000000e+01 -4.701098263643283329e-06 1.146590525167232033e-04
3.000000000000000000e+00 2.400000000000000000e+01 -2.650237631074008103e-06 1.155603612307292192e-04
3.000000000000000000e+00 2.500000000000000000e+01 -4.066899205260867886e-07 1.160426664002290101e-04
3.000000000000000000e+00 2.600000000000000000e+01 1.825175708678567713e-06 1.155189448533570543e-04
3.000000000000000000e+00 2.700000000000000000e+01 4.068317317227780399e-06 1.143649558489256496e-04
3.000000000000000000e+00 2.800000000000000000e+01 6.137029155006072222e-06 1.123187403706255971e-04
